Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count,Reviews,Has_Website,Has_Phone
Nashik Road,chartered accountant,Pratik S Vanjari & Co,079773 04664,,5.0,19.0,19,False,True
Nashik Road,chartered accountant,Rahul Pawar & Associate's,094203 64451,,5.0,6.0,6,False,True
Nashik Road,chartered accountant,S. S. KADAM & CO. Chartered Accountant,0253 250 2244,,5.0,2.0,2,False,True
Nashik Road,chartered accountant,CA Shivam K Bagad,082373 32909,,5.0,2.0,2,False,True
Nashik Road,chartered accountant,CA Anil Ghogare | Rajaram & Associates,092726 12981,,5.0,3.0,3,False,True
Nashik Road,chartered accountant,CA G S Suryawanshi,0253 235 4951,,5.0,13.0,13,False,True
Nashik Road,chartered accountant,Chandak Rahane & Co. = Chartered Accountants (CA) (formerly known as P P Chandak & Co),099702 27755,,5.0,6.0,6,False,True
Nashik Road,chartered accountant,S K K P and Company,098221 18119,,5.0,1.0,1,False,True
Nashik Road,chartered accountant,Dnyaneshwar Hase & Associates Chartered Accountants,094200 00977,,5.0,1.0,1,False,True
Nashik Road,chartered accountant,Gaikwad And Associates Chartered Accountant,090499 83888,,5.0,10.0,10,False,True
Nashik Road,chartered accountant,CA KIRAN ZADE AND ASSOCIATES | CHARTERED ACCOUNTANTS,095279 09693,,5.0,22.0,22,False,True
Nashik Road,chartered accountant,Pathik Bhandari & Associates,0253 250 2096,,5.0,27.0,27,False,True
Nashik Road,chartered accountant,"Mirza Kotkar & Co., Chartered Accountants",099229 51781,,5.0,42.0,42,False,True
Nashik Road,interior designer,"Architects, interior and landscape designer. Ar- Vinayak & Rudra Patil",088888 85210,,5.0,43.0,43,False,True
Nashik Road,interior designer,Olive Green The Interior Designer Studio Nashik,086000 28601,,5.0,5.0,5,False,True
Nashik Road,tax consultant,RAHUL CHAUDHARI AND ASSOCIATES,091306 44690,,5.0,2.0,2,False,True
Nashik Road,tax consultant,N Z SHAIKH AND ASSOCIATE,097667 11242,,5.0,1.0,1,False,True
