Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count,Reviews,Has_Website,Has_Phone
Nashik Road,crossfit box,AIM FITNESS STUDIO (Zumba),099601 49559,,4.9,52.0,52,False,True
Nashik Road,modular furniture studio,"Space Craft Kitchens, Modular Kitchens, Designer Kitchens Suppliers In Nashik,interior design",099751 50531,,4.9,51.0,51,False,True
Nashik Road,homeopathy clinic,Dr Shilpa Kaveeshwar's Homeopathic Clinic,094202 25827,,5.0,50.0,50,False,True
Nashik Road,physiotherapist,Addicure Physiotherapy clinic,092840 12280,,5.0,49.0,49,False,True
Nashik Road,crossfit box,One life fitness studio gym,080805 81950,,4.9,49.0,49,False,True
Nashik Road,car detailing studio,Detailing Compound - Car/Bike Detailing Studio,073879 73872,,4.9,48.0,48,False,True
Nashik Road,designer boutique,Mercy Studio Line,0253 231 7745,,4.7,48.0,48,False,True
Nashik Road,tattoo studio,Om tattoo studio ajay ogania,098233 36657,,4.0,47.0,47,False,True
Nashik Road,crossfit box,M Square fitness - Premium Fitness Centre in Nashik,077750 77653,,4.6,46.0,46,False,True
Nashik Road,dentist,Dental Studio - Smiles And More...,091682 74005,,2.7,46.0,46,False,True
Nashik Road,interior designer,GJ Design Studio (Gunjan Jain),081492 89869,,4.8,45.0,45,False,True
Nashik Road,physiotherapist,Dr. Gholap Physiotherapy Clinic,098601 72195,,5.0,45.0,45,False,True
Nashik Road,bridal makeup studio,Anaya Makeup Studio & Saloon,096995 60251,,5.0,43.0,43,False,True
Nashik Road,car detailing studio,Autokosmetica - The detailing studio,092268 12414,,4.4,42.0,42,False,True
Nashik Road,bridal makeup studio,RUPSHREE MAKEUP STUDIO AND ACADEMY,099212 30513,,4.6,42.0,42,False,True
Nashik Road,veterinary clinic,Dynamic Vet Pathology Lab & Pet Care Clinic,088882 82346,,4.5,42.0,42,False,True
Nashik Road,physiotherapist,Dr Urwashi Physiotherapy Clinic,073784 44156,,5.0,41.0,41,False,True
Nashik Road,car detailing studio,Adinath car wash & Detailing Studio,077700 00331,,4.9,41.0,41,False,True
Nashik Road,interior designer,Shiv Vision Studio,087881 94258,,4.9,40.0,40,False,True
Nashik Road,dentist,Dr. Pravin R. Wagh Dental Clinic & Implant center.,081490 62285,,4.8,38.0,38,False,True
Nashik Road,boutique architect,studio morph,079726 76160,,4.9,37.0,37,False,True
Nashik Road,physiotherapist,GOOD HEALTH PHYSIOTHERAPY CLINIC,073508 07477,,5.0,37.0,37,False,True
Nashik Road,yoga studio,Isha's yoga studio,075888 28123,,5.0,36.0,36,False,True
Nashik Road,physiotherapist,Nashik Road Multispeciality Hospital,0253 245 7799,,2.5,36.0,36,False,True
Nashik Road,bridal makeup studio,Studio N9 Salon & Academy,099228 22463,,5.0,35.0,35,False,True
Nashik Road,tattoo studio,shlok tattoo studio,098507 81050,,4.6,35.0,35,False,True
Nashik Road,yoga studio,Yoga Studio,099227 10023,,5.0,35.0,35,False,True
Nashik Road,tattoo studio,The colours tattoo studio,079762 34747,,4.9,34.0,34,False,True
Nashik Road,dentist,Shree Rushi Dental Clinic,084850 31453,,5.0,34.0,34,False,True
Nashik Road,tattoo studio,Tattoo Studio & Body Piercing In Nashik,070205 55836,,4.7,34.0,34,False,True
Nashik Road,tattoo studio,DREAM TATTOO STUDIO,075071 35415,,5.0,34.0,34,False,True
Nashik Road,homeopathy clinic,Happy Life Homoeopathic and Ayurvedic Clinic,073875 76915,,4.8,33.0,33,False,True
Nashik Road,nail bar,Nail art Studio & academy Firoz 💅,098336 64752,,4.8,33.0,33,False,True
Nashik Road,physiotherapist,Dr. Rushika’s Physiotherapy Clinic,074981 91330,,5.0,32.0,32,False,True
Nashik Road,veterinary clinic,✅ 𝗡𝗮𝘀𝗵𝗶𝗸 𝗣𝗲𝘁 𝗛𝗼𝘀𝗽𝗶𝘁𝗮𝗹 - Best Pet Clinic in Nashik/Veterinary Hospital/Pet Hospital/Pet Grooming/Animal X-Ray and Pathological,091300 09832,,3.6,31.0,31,False,True
Nashik Road,dentist,Dr Shreya's The Sweet Tooth Dental Clinic,096899 76574,,5.0,31.0,31,False,True
Nashik Road,bridal makeup studio,Swamini Beauty Clinic,083082 69923,,5.0,31.0,31,False,True
Nashik Road,boutique architect,Line Design Studio,082378 10002,,4.8,30.0,30,False,True
Nashik Road,bridal makeup studio,LAXMI' BEAUTY PARLOUR & TRAINING CENTER & ANITA IRALAAPALLE MAKEUP STUDIO & ACADMY,080073 62741,,4.9,30.0,30,False,True
Nashik Road,veterinary clinic,Dr. Sanjay Gaikwad's Pet Care Clinic,098223 18248,,4.7,29.0,29,False,True
Nashik Road,physiotherapist,Sarvang Physiotherapy Clinic,097636 75557,,5.0,29.0,29,False,True
Nashik Road,dentist,Nutrident Dental & Diet Clinic,094200 80771,,5.0,28.0,28,False,True
Nashik Road,yoga studio,The Yoga Studio,094239 69140,,4.9,28.0,28,False,True
Nashik Road,car detailing studio,AutoTherapy-PPF Application Studio,070309 11966,,4.7,28.0,28,False,True
Nashik Road,interior designer,Aakar Studio,096651 11117,,4.8,28.0,28,False,True
Nashik Road,nail bar,Rosh Nail Studio,080801 33822,,5.0,28.0,28,False,True
Nashik Road,physiotherapist,Dr. Puri's Sparsh Advanced Physiotherapy Clinic,099308 73007,,4.9,27.0,27,False,True
Nashik Road,homeopathy clinic,MEDINOVA CLINIC NASHIK,082085 86036,,5.0,26.0,26,False,True
Nashik Road,dentist,Super Speciality Dental and Implant Center,098116 24947,,4.7,26.0,26,False,True
Nashik Road,premium salon,Look Well Makeup Studio and Spa,092712 46605,,4.7,26.0,26,False,True
Nashik Road,homeopathy clinic,Dr Hetal Kasliwal - Arihant Homoeopathic Clinic,082084 87040,,4.9,25.0,25,False,True
Nashik Road,boutique architect,Space designers,093259 32576,,5.0,25.0,25,False,True
Nashik Road,ceramic coating,TurtleWax Car Care Studio,090286 46333,,4.7,25.0,25,False,True
Nashik Road,homeopathy clinic,Dr. Patel's Om Homeopathic Clinic,094203 47769,,5.0,24.0,24,False,True
Nashik Road,bridal makeup studio,Blossom Hair Beauty & Makeup Studio,076201 52136,,4.9,24.0,24,False,True
Nashik Road,homeopathy clinic,Sandeep Homoeopathic Clinic (Dr Pradeep K Shete),0253 246 1744,,4.8,24.0,24,False,True
Nashik Road,designer boutique,Varsha Boutique and Tailoring,086003 66062,,4.8,23.0,23,False,True
Nashik Road,dentist,Swami Multispeciality Dental Clinic,090494 92122,,5.0,23.0,23,False,True
Nashik Road,designer boutique,Style It Designer Studio,077448 85576,,4.9,23.0,23,False,True
Nashik Road,veterinary clinic,Pet Clinic and Shop,096895 75632,,4.5,23.0,23,False,True
