Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
Nashik Road,restro bar,Hotel Sadhguru,075584 63118,,4.1,2510.0
Nashik Road,restro bar,GPS 99 RESTAURANT,086691 10119,,4.0,937.0
Nashik Road,restro bar,The Escape Lounge,,,3.6,24.0
Nashik Road,restro bar,Samarkand Restaurant,0253 232 5000,,4.2,413.0
Nashik Road,restro bar,Snehit Bar & Restaurant,,,3.8,58.0
Nashik Road,restro bar,Kashish Palace,,,3.9,318.0
Nashik Road,restro bar,Hotel West In (East End) Family Restaurant and Bar,0253 295 3995,,3.8,455.0
Nashik Road,restro bar,URBAN OASIS MULTI-CUISINE,093737 36501,,4.2,379.0
Nashik Road,restro bar,Yaari Resto & Bar,,,3.0,6.0
Nashik Road,restro bar,Hotel Mahakrishna Restaurant & Bar,0253 259 3988,,3.9,138.0
Nashik Road,restro bar,River Dine Restaurant & Banquet,099232 73444,,4.1,3100.0
Nashik Road,restro bar,Yash hotel,084829 77257,,4.7,25.0
Nashik Road,restro bar,Hotel The Landmark,0253 241 0139,,3.8,163.0
Nashik Road,restro bar,Hotel Rangat,098222 81793,,3.8,81.0
Nashik Road,restro bar,Hotel Maharastra Darbar,070301 27000,,3.8,140.0
Nashik Road,restro bar,Madras Cafe,084840 98589,,3.7,608.0
Nashik Road,restro bar,Mehfil Restaurant and Bar,,,3.6,145.0
Nashik Road,restro bar,Samudra Bar & Restaurant,,,3.6,5.0
Nashik Road,fine dining restaurant,The Peshawari Family Restaurant,088058 68736,,4.8,55.0
Nashik Road,fine dining restaurant,Udupi Tadka's Hariyali Veg Restaurant & Party Hall,089560 36930,,4.2,2147.0
Nashik Road,fine dining restaurant,Hotel Gandharv Pure Veg Restaurant (best pure veg restaurant in nashik),084840 25388,,4.4,326.0
Nashik Road,fine dining restaurant,Hotel Maharashtra And Restaurant,,,4.3,52.0
Nashik Road,fine dining restaurant,Mande's Mangotree,088885 00749,,4.1,247.0
Nashik Road,fine dining restaurant,TAJ RESTAURANT,093715 32587,,4.3,40.0
Nashik Road,fine dining restaurant,Udupi Tadka High Gardens Pure Veg restaurant,089560 36925,,4.4,2302.0
Nashik Road,fine dining restaurant,Spice Route,099229 92231,,4.0,2377.0
Nashik Road,fine dining restaurant,Aangan Family Restaurant Nashik,,,4.9,120.0
Nashik Road,fine dining restaurant,The palms Multi cuisine & Family Restaurant,,,4.0,35.0
Nashik Road,fine dining restaurant,Asha Restaurant,0253 246 1320,,4.2,51.0
Nashik Road,fine dining restaurant,"Krave Restaurant ,Lounge and Banquets.",095454 51313,,4.5,323.0
Nashik Road,fine dining restaurant,Shalimar Restaurant,097662 37520,,3.9,819.0
Nashik Road,fine dining restaurant,"Curry Leaves, Indira Nagar - Hotel, Restaurant, Banquet, Rooms",094231 89995,,4.4,3736.0
Nashik Road,fine dining restaurant,Amrut Garden's Iconic Multi-Cuisine Restaurant,093700 03470,,4.2,181.0
Nashik Road,fine dining restaurant,Chutney Restaurant,,,5.0,4.0
Nashik Road,fine dining restaurant,Dil Se Desi - Nashik,099232 06360,,4.1,1312.0
Nashik Road,fine dining restaurant,Veg Aroma,083800 32373,,4.0,7158.0
Nashik Road,fine dining restaurant,Baracco Alfresco. Bar. Banquets | Multi Cuisine Restaurant,077700 08011,,4.3,1617.0
Nashik Road,fine dining restaurant,Panchali Pure Veg Family Resturant,098507 50837,,3.6,623.0
Nashik Road,fine dining restaurant,Sai Raj Foods : Best Home made Non-Veg Food in Nashik,,,4.2,19.0
Nashik Road,fine dining restaurant,"Curry Leaves Pure Veg , Jehan Circle",077220 15994,,4.3,10444.0
Nashik Road,fine dining restaurant,Haji Darbar Restaurant,098909 78600,,4.1,1775.0
Nashik Road,fine dining restaurant,"The Zaffran Restaurant, Nashik",076668 88365,,4.1,265.0
Nashik Road,fine dining restaurant,Kutumb Veg and Non_veg Family Restaurant,082080 72451,,4.5,61.0
Nashik Road,fine dining restaurant,Namo Hotel Family Restaurant,094230 89082,,4.1,8.0
Nashik Road,fine dining restaurant,Hotel Rama Krishna,094222 64142,,4.5,900.0
Nashik Road,fine dining restaurant,The Machan's Nature's Bliss | Veg / Non-Veg Restaurant in Nashik | Famous restaurants in Nashik,078210 04239,,3.9,289.0
Nashik Road,fine dining restaurant,Bon Vivant,0253 231 4460,,4.1,7077.0
Nashik Road,fine dining restaurant,The Cobble Street (TCS),083809 98099,,4.2,2772.0
