Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
Nashik,restro bar,Hotel Satkar Restaurant And Bar,0253 231 6388,,3.6,70.0
Nashik,restro bar,Kopa Kabana's,0253 231 7698,,3.9,471.0
Nashik,restro bar,Vaibhav Bar & Restaurant,086003 59839,,3.9,25.0
Nashik,restro bar,The Callisto-Multi Cuisine Restaurant & Bar in Nashik,080805 87063,,4.2,1495.0
Nashik,restro bar,Hotel Sai Saya,095525 37974,,3.7,1653.0
Nashik,restro bar,"Curry Leaves, Indira Nagar - Hotel, Restaurant, Banquet, Rooms",094231 89995,,4.4,3737.0
Nashik,restro bar,Kaka Ka Dhaba,090112 38000,,3.9,5526.0
Nashik,restro bar,Snehit Bar & Restaurant,,,3.8,58.0
Nashik,restro bar,Shashwat Restaurant And Bar,094209 33399,,3.7,107.0
Nashik,restro bar,The Cobble Street (TCS),083809 98099,,4.2,2772.0
Nashik,restro bar,Tamayo - The Restro Cafe,088560 00681,,4.4,90.0
Nashik,restro bar,Spice Route,099229 92231,,4.0,2377.0
Nashik,restro bar,Hotel Darshan Bar & Restaurant,0253 246 3842,,3.5,239.0
Nashik,restro bar,Hotel West In (East End) Family Restaurant and Bar,0253 295 3995,,3.8,455.0
Nashik,restro bar,HOTEL EXPRESS RESTO & BAR,095799 85559,,4.0,404.0
Nashik,restro bar,Hotel Vaibhav Bar And Restaurant,097679 83338,,3.7,89.0
Nashik,restro bar,INARA bar & kitchen,099608 98448,,3.9,36.0
Nashik,restro bar,HOTEL RAU PERMIT ROOM AND BAR,098902 94277,,3.8,112.0
Nashik,restro bar,Tamara Banquet & Restaurant,098220 24422,,4.2,1213.0
Nashik,restro bar,Vishala Hotel and Bar,,,3.7,52.0
Nashik,restro bar,Ghungroo Bar,0253 257 9032,,3.6,16.0
Nashik,restro bar,Hotel Santosh Restaurant & Permit Room,0253 238 2455,,3.7,242.0
Nashik,restro bar,Hotel Radhika,0253 230 5872,,3.7,1404.0
Nashik,restro bar,Hotel Yogesh,,,3.7,361.0
Nashik,restro bar,Mehfil Restaurant and Bar,,,3.6,145.0
Nashik,restro bar,Spices N Drinks,,,3.8,12.0
Nashik,restro bar,Hotel Madhuban,0253 259 1420,,3.7,331.0
Nashik,restro bar,Hotel Hello,0253 257 1748,,4.1,120.0
Nashik,restro bar,The Namastey Nashik – Best Pure Veg Restaurant,0253 299 5031,,4.6,2075.0
Nashik,restro bar,Hotel Big City Banquet & Resto-Bar,098600 96350,,3.9,659.0
Nashik,restro bar,Hotel Jalsa,,,4.1,301.0
Nashik,restro bar,Hotel Raj Darbar,090117 86371,,3.9,210.0
Nashik,restro bar,Majhali Restaurant - College Road,0253 231 7772,,4.3,1488.0
Nashik,restro bar,Grand Sadichha Seafood Restaurant & Bar,093738 40408,,4.0,138.0
Nashik,restro bar,SANDIP BAR & RESTAURANT,,,1.0,1.0
Nashik,restro bar,FAMILY COURT BAR ASSOCIATION,0253 259 8199,,4.2,6.0
Nashik,restro bar,EL KICK RESTAURANT & BAR,,,,
Nashik,fine dining restaurant,THE TEROTALE,091303 03308,,4.7,6197.0
Nashik,fine dining restaurant,mykonos - Nashik,093597 95401,,4.7,1440.0
Nashik,fine dining restaurant,Amrut Garden's Iconic Multi-Cuisine Restaurant,093700 03470,,4.2,181.0
Nashik,fine dining restaurant,Baracco Alfresco. Bar. Banquets | Multi Cuisine Restaurant,077700 08011,,4.3,1616.0
Nashik,fine dining restaurant,"Krave Restaurant ,Lounge and Banquets.",095454 51313,,4.5,323.0
Nashik,fine dining restaurant,MyOhMy,,,4.4,977.0
Nashik,fine dining restaurant,Hotel Gandharv Pure Veg Restaurant (best pure veg restaurant in nashik),084840 25388,,4.4,326.0
Nashik,fine dining restaurant,Hakka Tikka Fine dine,080555 22218,,3.9,35.0
Nashik,fine dining restaurant,The palms Multi cuisine & Family Restaurant,,,4.0,35.0
Nashik,fine dining restaurant,Udupi Tadka High Gardens Pure Veg restaurant,089560 36925,,4.4,2303.0
Nashik,fine dining restaurant,King of salad mix - best salad in Nashik,094230 64642,,4.9,80.0
Nashik,fine dining restaurant,Majhali by Vikram Ugale - Rooms | Restaurant | Banquet,075882 17774,,4.3,1119.0
