Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
"Bytco Point, Nashik Road",restro bar,Topchi Brewing Outpost,080078 67244,https://topchi.in/,4.8,138.0
"Bytco Point, Nashik Road",restro bar,Shahi Parivar Premium Thali,092842 51745,http://www.facebook.com/sshaahiparivar,3.9,55.0
"Bytco Point, Nashik Road",restro bar,Hotel Rangat,098222 81793,,3.8,81.0
"Bytco Point, Nashik Road",restro bar,Hemraj Rest and Bar,,,4.0,185.0
"Bytco Point, Nashik Road",restro bar,HOTEL STAR RESTAURANT & BAR,097654 87785,,3.7,82.0
"Bytco Point, Nashik Road",restro bar,Yaari Resto & Bar,,,3.0,6.0
"Bytco Point, Nashik Road",restro bar,"Pegasus Global Cuisine - Restaurant, Bar & Banquet By Callisto",090965 11106,,4.4,158.0
"Bytco Point, Nashik Road",restro bar,Hotel Shailesh Bar And Restaurant,0253 245 9308,,4.0,29.0
"Bytco Point, Nashik Road",restro bar,Hotel Vaibhav Bar And Restaurant,097679 83338,,3.7,89.0
"Bytco Point, Nashik Road",restro bar,VAISHALI VEG & NON VEG FAMILY RESTAURANT,099755 84828,,4.1,502.0
"Bytco Point, Nashik Road",restro bar,Yash hotel,084829 77257,,4.7,25.0
"Bytco Point, Nashik Road",restro bar,Hotel Mazda & Cafe - Best Cafe in Nashik| Family Restaurant in Nashik| Multicusion Restaurant in Nashik,085303 92333,,4.3,541.0
"Bytco Point, Nashik Road",restro bar,Heera Bar,,,3.2,31.0
"Bytco Point, Nashik Road",restro bar,Tomato's Nashik Restaurant & Bar,090907 49091,http://tomatos.co.in/,4.2,709.0
"Bytco Point, Nashik Road",restro bar,Namaste Chef by Asian Wok and Grill,073785 99999,https://namastechefawg.in/,4.5,1464.0
"Bytco Point, Nashik Road",restro bar,River Dine Restaurant & Banquet,099232 73444,,4.1,3095.0
"Bytco Point, Nashik Road",restro bar,TAJ RESTAURANT,093715 32587,,4.3,40.0
"Bytco Point, Nashik Road",restro bar,"AMANDAH Kitchen, Bar and Cafe",,,4.0,106.0
"Bytco Point, Nashik Road",restro bar,Sai Leela Family Restaurant & Snacks,098226 41888,,3.9,504.0
"Bytco Point, Nashik Road",restro bar,RK JUICE,092093 43312,,5.0,17.0
"Bytco Point, Nashik Road",restro bar,Garwa Hotel Nashik | Family Restobar & Banquet,091752 12929,https://www.garwahotel.com/,3.9,3288.0
"Bytco Point, Nashik Road",restro bar,SaladO Cafe,091159 91375,https://saladocafe.com/,4.5,22.0
"Bytco Point, Nashik Road",restro bar,GPS 99 RESTAURANT,086691 10119,,4.0,938.0
"Bytco Point, Nashik Road",restro bar,Hotel Maharastra Darbar,070301 27000,,3.8,140.0
"Bytco Point, Nashik Road",restro bar,Hotel Rasoi,0253 235 1090,,3.9,366.0
"Bytco Point, Nashik Road",restro bar,New Metro Restaurant,090118 97668,,3.9,11.0
"Bytco Point, Nashik Road",restro bar,BLVD Nashik,083800 39444,http://www.blvdnashik.com/,4.2,2275.0
"Bytco Point, Nashik Road",unisex salon,Spikes & Curls,080878 31038,https://www.spikesandcurls.com/,4.6,1815.0
"Bytco Point, Nashik Road",unisex salon,Clip n snip Unisex salon,,,5.0,2.0
"Bytco Point, Nashik Road",unisex salon,Golden Apple Salon | Unisex salon near me | Best Salon in Nashik | Best unisex salon in nashik,093715 84798,https://goldenapplesalon.hi.link/,4.8,366.0
"Bytco Point, Nashik Road",unisex salon,Elegance Salon,081041 00135,,4.8,261.0
"Bytco Point, Nashik Road",unisex salon,XO Unisex Salon,088308 17234,,3.7,3.0
"Bytco Point, Nashik Road",unisex salon,YRS Unisex Salon - Nashik,096739 82804,https://yrssalon.in/,4.3,653.0
"Bytco Point, Nashik Road",unisex salon,Symond Unisex Salon,088560 03200,https://www.instagram.com/lucky_symond_salon?igsh=anZuM3VqN2NlZm04,5.0,24.0
"Bytco Point, Nashik Road",unisex salon,"Unique Hair and Beauty Spa, Nahsik",,https://uniquebeautybyrushalidive.online/,,
"Bytco Point, Nashik Road",unisex salon,Petals Beauty & Hair Studio,083297 09779,,4.9,137.0
"Bytco Point, Nashik Road",unisex salon,Good Looking Hair Point,070205 16983,,4.8,161.0
"Bytco Point, Nashik Road",unisex salon,Simran Beauty Salon,092702 79469,,4.9,72.0
"Bytco Point, Nashik Road",unisex salon,Priti's Parineeta Salon & International Beauty Academy (Nashikroad Branch),098902 89618,,4.9,74.0
"Bytco Point, Nashik Road",unisex salon,The Shape Up Salon,,,4.9,150.0
"Bytco Point, Nashik Road",unisex salon,Master cut's (Unisex Salon),073852 82391,,3.9,20.0
"Bytco Point, Nashik Road",unisex salon,Xtreme Salon,086002 89169,,4.8,53.0
"Bytco Point, Nashik Road",unisex salon,New Professional Unisex Salon,073501 31709,,4.8,9.0
"Bytco Point, Nashik Road",unisex salon,Looks HAIR STUDIO Unisex salon,084213 27834,,4.8,59.0
"Bytco Point, Nashik Road",unisex salon,THE HAIRPORT,099223 38669,,4.5,179.0
"Bytco Point, Nashik Road",unisex salon,Bella saloon and spa only women's,093265 79432,,,
"Bytco Point, Nashik Road",unisex salon,V-NICE BEAUTY SALON AND MAKEUP STUDIO,,,,
"Bytco Point, Nashik Road",unisex salon,Spark beauty care,,,4.7,27.0
"Bytco Point, Nashik Road",unisex salon,AV HAIR TOWN UNISEX SALOON,099213 47102,https://instagram.com/ashairtownunisexsalon,4.9,19.0
"Bytco Point, Nashik Road",unisex salon,Ovi Beauty Spalon | Only for Ladies,078755 12529,https://www.instagram.com/ovibeautyspalon?igsh=MXFwMXJtYTk3bDJuNw==,5.0,20.0
"Bytco Point, Nashik Road",unisex salon,M K FAMILY SALON (iT's YoUr TiMe To ShiNe) NASHIK HAIR STYLIST,079728 53676,,4.8,270.0
"Bytco Point, Nashik Road",unisex salon,PINK AND BLUE UNISEX SALON,,,4.9,9.0
"Bytco Point, Nashik Road",unisex salon,SB Beauty Salon | SAROJ BHAMARE |,079726 81197,,4.9,23.0
